TIMEOUT after 300.3s (bound 300s, killed by timeout(1)/gtimeout)
deck: ss_125c_3.63v-run0.spice
xdut.xr1.xcore.vss__t1             3.12078e-10
xdut.xr1.xcore.vddr__t1                   3.63
xdut.xr1.xcore.\$14                8.81795e-08
xdut.xr1.xcore.\$13                9.21575e-08
xdut.xr1.xcore.a\x7cy__t011        4.01625e-07
xdut.xr1.xcore.a\x7cy__t1          1.58039e-11
xdut.xr1.xcore.en__t0                     3.63
xdut.xr1.xcore.\$27__t1                1.69935
xdut.xr1.xcore.vss__t2                       0
xdut.xr1.xcore.vddr__t2                3.62923
xdut.xr1.xcore.\$28                    3.47689
xdut.xr1.xcore.a\x7cy__t3          0.000139375
xdut.xr1.xcore.a\x7cy__t111        4.01625e-07
xdut.xr1.xcore.\$27__t2                1.69935
xdut.xr1.xcore.\$27__t0                1.69935
xdut.xr1.xcore.en__t1                     3.63
xdut.xr1.xcore.a\x7cy__t4          4.30044e-11
xdut.xr1.xcore.vddr__t3                   3.63
xdut.xr1.xcore.vss__t3                       0
xdut.xr1.xcore.\$29                    3.62999
xdut.xr1.xcore.\$30                    3.62986
xdut.xr1.xcore.a\x7cy__t2                    0
xdut.xr1.xcore.a\x7cy__t12             3.62999
xdut.xr1.xcore.vddr__t12                  3.63
xdut.xr1.xcore.vss__t12                      0
xdut.xr1.xcore.\$31                       3.63
xdut.xr1.xcore.\$32                    3.53451
xdut.xr1.xcore.a\x7cy__t22             3.62999
xdut.xr1.xcore.a\x7cy__t03         3.79515e-07
xdut.xr1.xcore.vddr__t11                  3.63
xdut.xr1.xcore.vss__t11                      0
xdut.xr1.xcore.\$33                    3.62999
xdut.xr1.xcore.\$34                    3.62986
xdut.xr1.xcore.a\x7cy__t23         3.79387e-07
xdut.xr1.xcore.a\x7cy__t04             3.62999
xdut.xr1.xcore.vddr__t10                  3.63
xdut.xr1.xcore.vss__t10                      0
xdut.xr1.xcore.\$35                       3.63
xdut.xr1.xcore.\$36                    3.53449
xdut.xr1.xcore.a\x7cy__t24             3.62999
xdut.xr1.xcore.a\x7cy__t05         4.08625e-07
xdut.xr1.xcore.vddr__t9                   3.63
xdut.xr1.xcore.vss__t9                       0
xdut.xr1.xcore.\$37                    3.62999
xdut.xr1.xcore.\$38                    3.62986
xdut.xr1.xcore.a\x7cy__t25         4.08485e-07
xdut.xr1.xcore.a\x7cy__t06             3.62999
xdut.xr1.xcore.vddr__t8                   3.63
xdut.xr1.xcore.vss__t8                       0
xdut.xr1.xcore.\$39                       3.63
xdut.xr1.xcore.\$40                    3.53454
xdut.xr1.xcore.a\x7cy__t26             3.62999
xdut.xr1.xcore.a\x7cy__t07         3.39765e-07
xdut.xr1.xcore.vddr__t7                   3.63
xdut.xr1.xcore.vss__t7                       0
xdut.xr1.xcore.\$41                    3.62999
xdut.xr1.xcore.\$42                    3.62986
xdut.xr1.xcore.a\x7cy__t27         3.39655e-07
xdut.xr1.xcore.a\x7cy__t08             3.62999
xdut.xr1.xcore.vddr__t6                   3.63
xdut.xr1.xcore.vss__t6                       0
xdut.xr1.xcore.\$43                       3.63
xdut.xr1.xcore.\$44                    3.53453
xdut.xr1.xcore.a\x7cy__t28             3.62999
xdut.xr1.xcore.a\x7cy__t09         3.58304e-07
xdut.xr1.xcore.vddr__t5                   3.63
xdut.xr1.xcore.vss__t5                       0
xdut.xr1.xcore.\$45                       3.63
xdut.xr1.xcore.\$46                    3.62986
xdut.xr1.xcore.a\x7cy__t29         3.58186e-07
xdut.xr1.xcore.a\x7cy__t010               3.63
xdut.xr1.xcore.vddr__t4                   3.63
xdut.xr1.xcore.vss__t4                       0
xdut.xr1.xcore.\$47                       3.63
xdut.xr1.xcore.\$48                     3.5345
xdut.xr1.xcore.a\x7cy__t210               3.63
xdut.xr1.xcore.a\x7cy__t211         4.0178e-07
xdut.xr1.xcore.\$27                    1.69935
xdut.xr1.n1                                  0
xdut.xr1.n2                            3.62999
xdut.xr1.n3                        3.79387e-07
xdut.xr1.n4                            3.62999
xdut.xr1.n5                        4.08485e-07
xdut.xr1.n6                            3.62999
xdut.xr1.n7                        3.39655e-07
xdut.xr1.n8                            3.62999
xdut.xr1.n9                        3.58186e-07
xdut.xr1.n10                              3.63
xdut.rn1                           4.01625e-07
xdut.xr2.xcore.vss__t0             3.14007e-10
xdut.xr2.xcore.vddr__t0                   3.63
xdut.xr2.xcore.\$15                8.20683e-08
xdut.xr2.xcore.\$14                8.61567e-08
xdut.xr2.xcore.a\x7cy__t2          3.61035e-07
xdut.xr2.xcore.a\x7cy__t02         1.58039e-11
xdut.xr2.xcore.en__t0                     3.63
xdut.xr2.xcore.\$17                1.10036e-06
xdut.xr2.xcore.a\x7cy__t12                   0
xdut.xr2.xcore.a\x7cy__t33                3.63
xdut.xr2.xcore.vss__t1             2.31779e-09
xdut.xr2.xcore.vddr__t1                   3.63
xdut.xr2.xcore.\$18                 3.0196e-07
xdut.xr2.xcore.a\x7cy__t13                3.63
xdut.xr2.xcore.a\x7cy__t34           3.511e-07
xdut.xr2.xcore.vss__t21            5.27346e-10
xdut.xr2.xcore.vddr__t21                  3.63
xdut.xr2.xcore.\$20                 1.6649e-06
xdut.xr2.xcore.a\x7cy__t14         3.51222e-07
xdut.xr2.xcore.a\x7cy__t35             3.62999
xdut.xr2.xcore.vss__t20            1.71375e-09
xdut.xr2.xcore.vddr__t20                  3.63
xdut.xr2.xcore.\$21                2.95648e-07
xdut.xr2.xcore.a\x7cy__t15             3.62999
xdut.xr2.xcore.a\x7cy__t36         3.41604e-07
xdut.xr2.xcore.vss__t19            1.70375e-10
xdut.xr2.xcore.vddr__t19                  3.63
xdut.xr2.xcore.\$23                1.78336e-06
xdut.xr2.xcore.a\x7cy__t16         3.41723e-07
xdut.xr2.xcore.a\x7cy__t37             3.62999
xdut.xr2.xcore.vss__t18              1.153e-10
xdut.xr2.xcore.vddr__t18                  3.63
xdut.xr2.xcore.\$24                2.87631e-07
xdut.xr2.xcore.a\x7cy__t17             3.62999
xdut.xr2.xcore.a\x7cy__t38          3.3343e-07
xdut.xr2.xcore.vss__t17            1.73816e-10
xdut.xr2.xcore.vddr__t17                  3.63
xdut.xr2.xcore.\$25                1.05733e-06
xdut.xr2.xcore.a\x7cy__t18         3.33542e-07
xdut.xr2.xcore.a\x7cy__t39                3.63
xdut.xr2.xcore.vss__t16            1.15695e-09
xdut.xr2.xcore.vddr__t16                  3.63
xdut.xr2.xcore.\$22                3.45886e-07
xdut.xr2.xcore.a\x7cy__t19                3.63
xdut.xr2.xcore.a\x7cy__t310        4.01729e-07
xdut.xr2.xcore.vss__t15            6.04003e-10
xdut.xr2.xcore.vddr__t15                  3.63
xdut.xr2.xcore.\$19                9.80885e-07
xdut.xr2.xcore.a\x7cy__t110        4.01874e-07
xdut.xr2.xcore.a\x7cy__t311               3.63
xdut.xr2.xcore.vss__t14            2.10874e-09
xdut.xr2.xcore.vddr__t14                  3.63
xdut.xr2.xcore.\$16                 3.1237e-07
xdut.xr2.xcore.a\x7cy__t111               3.63
xdut.xr2.xcore.a\x7cy__t0          3.60891e-07
xdut.xr2.xcore.vss__t13              9.054e-10
xdut.xr2.xcore.vddr__t13                  3.63
xdut.xr2.xcore.\$27__t1                1.73994
xdut.xr2.xcore.vss__t2                       0
xdut.xr2.xcore.vddr__t2                3.62918
xdut.xr2.xcore.\$28                    3.47688
xdut.xr2.xcore.a\x7cy__t32         0.000147482
xdut.xr2.xcore.a\x7cy__t3          3.61035e-07
xdut.xr2.xcore.\$27__t2                1.73994
xdut.xr2.xcore.\$27__t0                1.73994
xdut.xr2.xcore.en__t1                     3.63
xdut.xr2.xcore.a\x7cy__t4          4.30043e-11
xdut.xr2.xcore.vddr__t3                   3.63
xdut.xr2.xcore.vss__t3                       0
xdut.xr2.xcore.\$29                       3.63
xdut.xr2.xcore.\$30                    3.62986
xdut.xr2.xcore.a\x7cy__t22                   0
xdut.xr2.xcore.a\x7cy__t23                3.63
xdut.xr2.xcore.vddr__t12                  3.63
xdut.xr2.xcore.vss__t12                      0
xdut.xr2.xcore.\$31                       3.63
xdut.xr2.xcore.\$32                    3.53416
xdut.xr2.xcore.a\x7cy__t03                3.63
xdut.xr2.xcore.a\x7cy__t24         3.51345e-07
xdut.xr2.xcore.vddr__t11                  3.63
xdut.xr2.xcore.vss__t11                      0
xdut.xr2.xcore.\$33                    3.62999
xdut.xr2.xcore.\$34                    3.62986
xdut.xr2.xcore.a\x7cy__t04         3.51222e-07
xdut.xr2.xcore.a\x7cy__t25             3.62999
xdut.xr2.xcore.vddr__t10                  3.63
xdut.xr2.xcore.vss__t10                      0
xdut.xr2.xcore.\$35                       3.63
xdut.xr2.xcore.\$36                    3.53417
xdut.xr2.xcore.a\x7cy__t05             3.62999
xdut.xr2.xcore.a\x7cy__t26         3.41842e-07
xdut.xr2.xcore.vddr__t9                   3.63
xdut.xr2.xcore.vss__t9                       0
xdut.xr2.xcore.\$37                    3.62999
xdut.xr2.xcore.\$38                    3.62986
xdut.xr2.xcore.a\x7cy__t06         3.41723e-07
xdut.xr2.xcore.a\x7cy__t27             3.62999
xdut.xr2.xcore.vddr__t8                   3.63
xdut.xr2.xcore.vss__t8                       0
xdut.xr2.xcore.\$39                       3.63
xdut.xr2.xcore.\$40                    3.53418
xdut.xr2.xcore.a\x7cy__t07             3.62999
xdut.xr2.xcore.a\x7cy__t28         3.33655e-07
xdut.xr2.xcore.vddr__t7                   3.63
xdut.xr2.xcore.vss__t7                       0
xdut.xr2.xcore.\$41                       3.63
xdut.xr2.xcore.\$42                    3.62986
xdut.xr2.xcore.a\x7cy__t08         3.33542e-07
xdut.xr2.xcore.a\x7cy__t29                3.63
xdut.xr2.xcore.vddr__t6                   3.63
xdut.xr2.xcore.vss__t6                       0
xdut.xr2.xcore.\$43                       3.63
xdut.xr2.xcore.\$44                    3.53412
xdut.xr2.xcore.a\x7cy__t09                3.63
xdut.xr2.xcore.a\x7cy__t210        4.02018e-07
xdut.xr2.xcore.vddr__t5                   3.63
xdut.xr2.xcore.vss__t5                       0
xdut.xr2.xcore.\$45                       3.63
xdut.xr2.xcore.\$46                    3.62986
xdut.xr2.xcore.a\x7cy__t010        4.01874e-07
xdut.xr2.xcore.a\x7cy__t211               3.63
xdut.xr2.xcore.vddr__t4                   3.63
xdut.xr2.xcore.vss__t4                       0
xdut.xr2.xcore.\$47                       3.63
xdut.xr2.xcore.\$48                    3.53416
xdut.xr2.xcore.a\x7cy__t011               3.63
xdut.xr2.xcore.a\x7cy__t1          3.61179e-07
xdut.xr2.xcore.\$27                    1.73994
xdut.rn2                           3.61035e-07
xdut.xr2.n1                                  0
xdut.xr2.n2                               3.63
xdut.xr2.n3                        3.51222e-07
xdut.xr2.n4                            3.62999
xdut.xr2.n5                        3.41723e-07
xdut.xr2.n6                            3.62999
xdut.xr2.n7                        3.33542e-07
xdut.xr2.n8                               3.63
xdut.xr2.n9                        4.01874e-07
xdut.xr2.n10                              3.63
xdut.xb1.vss__t0                   2.78933e-12
xdut.xb1.a__t0                     4.01625e-07
xdut.xb1.y__t0                            3.63
xdut.xb1.vdd__t0                          3.63
xdut.xb1.a__t1                     4.01625e-07
xdut.xb1.y__t1                            3.63
xdut.xb1.\$5                           3.62936
ro1                                       3.63
xdut.xb2.vss__t0                    4.2911e-12
xdut.xb2.a__t0                     3.61035e-07
xdut.xb2.y__t0                            3.63
xdut.xb2.vdd__t0                          3.63
xdut.xb2.a__t1                     3.61035e-07
xdut.xb2.y__t1                            3.63
xdut.xb2.\$5                           3.62936
ro2                                       3.63
xdut.xa1.\$2__t0                   4.48461e-08
xdut.xa1.a__t0                            3.63
xdut.xa1.vss__t0                   2.76366e-11
xdut.xa1.\$3__t3                   5.12661e-08
xdut.xa1.b__t1                            3.63
xdut.xa1.vss__t3                   1.70113e-11
xdut.xa1.y__t3                     2.51844e-07
xdut.xa1.a__t3                            3.63
xdut.xa1.\$4__t1                   1.29471e-07
xdut.xa1.\$4__t0                   1.29278e-07
xdut.xa1.b__t3                            3.63
xdut.xa1.vss__t1                   3.91036e-11
xdut.xa1.y__t2                     2.51962e-07
xdut.xa1.\$2__t1                   4.50786e-08
xdut.xa1.\$6__t1                     0.0115736
xdut.xa1.\$6__t0                     0.0115736
xdut.xa1.\$3__t2                   5.15375e-08
xdut.xa1.vss__t2                   7.31096e-12
xdut.xa1.\$2__t2                   4.51408e-08
xdut.xa1.a__t1                            3.63
xdut.xa1.vdd__t0                          3.63
xdut.xa1.\$11                          3.50698
xdut.xa1.\$3__t1                     5.161e-08
xdut.xa1.b__t0                            3.63
xdut.xa1.vdd__t3                          3.63
xdut.xa1.\$8__t3                      0.748456
xdut.xa1.a__t2                            3.63
xdut.xa1.vdd__t1                          3.63
xdut.xa1.\$8__t2                      0.748456
xdut.xa1.b__t2                            3.63
xdut.xa1.vdd__t2                          3.63
xdut.xa1.y__t0                     2.51993e-07
xdut.xa1.\$2__t3                   4.50786e-08
xdut.xa1.\$8__t1                      0.748456
xdut.xa1.y__t1                     2.52004e-07
xdut.xa1.\$3__t0                   5.15375e-08
xdut.xa1.\$8__t0                      0.748456
xdut.xa1.\$2                       4.50786e-08
xdut.xa1.\$3                       5.15375e-08
xdut.xa1.\$4                       1.29374e-07
xdut.xa1.\$6                         0.0115736
xdut.xa1.\$8                          0.748456
xo                                 2.51956e-07
q1                                -8.12943e-16
q2                                -8.60223e-16
qt                                -1.22239e-20
vth                                      1.815
bvth#branch                                  0
vtr#branch                         1.22239e-10
vr2#branch                         8.60223e-06
vr1#branch                         8.12943e-06
ven#branch                        -4.92434e-17
vsup#branch                       -1.67318e-05

 Reference value :  0.00000e+00
 Reference value :  4.49280e-10
 Reference value :  8.90280e-10
 Reference value :  1.33928e-09
 Reference value :  1.80328e-09
 Reference value :  2.29628e-09
 Reference value :  2.74928e-09
 Reference value :  3.19628e-09
 Reference value :  3.63428e-09
 Reference value :  4.08928e-09
 Reference value :  4.53128e-09
 Reference value :  4.98528e-09
 Reference value :  5.47928e-09
 Reference value :  5.96028e-09
 Reference value :  6.43228e-09
 Reference value :  6.88728e-09
 Reference value :  7.33928e-09
 Reference value :  7.79028e-09
 Reference value :  8.24628e-09
 Reference value :  8.68328e-09
 Reference value :  9.15428e-09
 Reference value :  9.61328e-09
 Reference value :  1.00853e-08
 Reference value :  1.05433e-08
 Reference value :  1.09723e-08
 Reference value :  1.14003e-08
 Reference value :  1.18573e-08
 Reference value :  1.23243e-08
 Reference value :  1.27563e-08
 Reference value :  1.32113e-08
 Reference value :  1.36703e-08
 Reference value :  1.41413e-08
 Reference value :  1.45883e-08
 Reference value :  1.50483e-08
 Reference value :  1.55043e-08
 Reference value :  1.59413e-08
 Reference value :  1.63773e-08
 Reference value :  1.68413e-08
 Reference value :  1.73013e-08
 Reference value :  1.77913e-08
 Reference value :  1.82623e-08
 Reference value :  1.87263e-08
 Reference value :  1.91853e-08
 Reference value :  1.96543e-08
 Reference value :  2.01063e-08
 Reference value :  2.05593e-08
 Reference value :  2.10083e-08
 Reference value :  2.14593e-08
 Reference value :  2.19253e-08
 Reference value :  2.23623e-08
 Reference value :  2.28133e-08
 Reference value :  2.32583e-08
 Reference value :  2.36863e-08
 Reference value :  2.41043e-08
 Reference value :  2.45593e-08
 Reference value :  2.50053e-08
 Reference value :  2.54753e-08
 Reference value :  2.59283e-08
 Reference value :  2.63903e-08
 Reference value :  2.68393e-08
 Reference value :  2.72783e-08
 Reference value :  2.77243e-08
 Reference value :  2.81733e-08
 Reference value :  2.86223e-08
 Reference value :  2.90693e-08
 Reference value :  2.95273e-08
 Reference value :  2.99913e-08
 Reference value :  3.04613e-08
 Reference value :  3.09033e-08
 Reference value :  3.13573e-08
 Reference value :  3.18013e-08
 Reference value :  3.22603e-08
 Reference value :  3.26963e-08
 Reference value :  3.31433e-08
 Reference value :  3.36233e-08
 Reference value :  3.40603e-08
 Reference value :  3.44973e-08
 Reference value :  3.49453e-08
 Reference value :  3.54183e-08
 Reference value :  3.58443e-08
 Reference value :  3.62913e-08
 Reference value :  3.68533e-08
 Reference value :  3.73213e-08
 Reference value :  3.77503e-08
 Reference value :  3.81983e-08
 Reference value :  3.86863e-08
 Reference value :  3.91333e-08
 Reference value :  3.95913e-08
 Reference value :  4.00613e-08
 Reference value :  4.05273e-08
 Reference value :  4.09573e-08
 Reference value :  4.13913e-08
 Reference value :  4.18273e-08
 Reference value :  4.22813e-08
 Reference value :  4.27723e-08
 Reference value :  4.32443e-08
 Reference value :  4.37263e-08
 Reference value :  4.41673e-08
 Reference value :  4.45923e-08
 Reference value :  4.50423e-08
 Reference value :  4.55193e-08
 Reference value :  4.59953e-08
 Reference value :  4.64963e-08
 Reference value :  4.69453e-08
 Reference value :  4.74083e-08
 Reference value :  4.78633e-08
 Reference value :  4.83283e-08
 Reference value :  4.87743e-08
 Reference value :  4.92183e-08
 Reference value :  4.96993e-08
 Reference value :  5.01533e-08
 Reference value :  5.06033e-08
 Reference value :  5.10663e-08
 Reference value :  5.15233e-08
 Reference value :  5.20043e-08
 Reference value :  5.24493e-08
 Reference value :  5.29003e-08
 Reference value :  5.33403e-08
 Reference value :  5.37623e-08
 Reference value :  5.41983e-08
 Reference value :  5.46083e-08
 Reference value :  5.50473e-08
 Reference value :  5.54763e-08
 Reference value :  5.59123e-08
 Reference value :  5.63333e-08
 Reference value :  5.67923e-08
 Reference value :  5.72283e-08
 Reference value :  5.76643e-08
 Reference value :  5.80923e-08
 Reference value :  5.85083e-08
 Reference value :  5.89313e-08
 Reference value :  5.93513e-08
 Reference value :  5.98143e-08
 Reference value :  6.02303e-08
 Reference value :  6.06473e-08

Warning: m=xx on .subckt line will override multiplier m hierarchy!

Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed
